package,test,result,log,elapsed_seconds,completed_runs
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountControlTablesCannotBeDiscoveredOrManaged,pass,rcc-goose-t3-integration.jsonl,16.92,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountMaintenanceCorrectEmailPreservesOwnershipAndSessions,pass,rcc-goose-t3-integration.jsonl,10.97,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountMaintenanceDisableAndEnableDoNotReviveSessions,pass,rcc-goose-t3-integration.jsonl,12.39,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountMaintenanceIndependentConnectionAndAtomicFailures,pass,rcc-goose-t3-integration.jsonl,14.76,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountMaintenanceResetDisabledAccountPreservesDraftDestruction,pass,rcc-goose-t3-integration.jsonl,10.06,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountMaintenanceResetPasswordRevokesEverySession,pass,rcc-goose-t3-integration.jsonl,12.29,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessCapacityNeverEvictsValidState,pass,rcc-goose-t3-integration.jsonl,11.92,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessDatabaseFailuresRemain503And504,pass,rcc-goose-t3-integration.jsonl,14.04,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessHTTPSCookiesAndSensitiveMaterials,pass,rcc-goose-t3-integration.jsonl,14.92,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema,pass,rcc-goose-t3-integration.jsonl,16.24,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/missing_column,pass,rcc-goose-t3-integration.jsonl,0.08,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/missing_expiry_index,pass,rcc-goose-t3-integration.jsonl,0.07,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/missing_foreign_key,pass,rcc-goose-t3-integration.jsonl,0.11,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/missing_lock_row,pass,rcc-goose-t3-integration.jsonl,0.08,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/missing_table,pass,rcc-goose-t3-integration.jsonl,0.09,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/missing_uniqueness,pass,rcc-goose-t3-integration.jsonl,0.1,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/unexpected_expiry_uniqueness,pass,rcc-goose-t3-integration.jsonl,0.07,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/unexpected_invisible_uniqueness,pass,rcc-goose-t3-integration.jsonl,0.08,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/unexpected_session_uniqueness,pass,rcc-goose-t3-integration.jsonl,0.07,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRequiresCompleteAuthenticationSchema/wrong_collation,pass,rcc-goose-t3-integration.jsonl,0.18,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessRestartPreservesSessionsAndRateWindows,pass,rcc-goose-t3-integration.jsonl,17.71,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessStopAllowsPendingRequestHeader,pass,rcc-goose-t3-integration.jsonl,5.38,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessStopAllowsPendingRequestHeader/idle,pass,rcc-goose-t3-integration.jsonl,0.07,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountProcessStopAllowsPendingRequestHeader/pending_header,pass,rcc-goose-t3-integration.jsonl,5.31,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountRoleUpgradePreservesAccountsAndGrants,pass,rcc-goose-t3-integration.jsonl,28.33,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountUpgradeFromLegacyMatchesFreshSchema,pass,rcc-goose-t3-integration.jsonl,19.31,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminExternalProcessForcesShutdownAtConfiguredBoundAndStillClosesApplication,pass,rcc-goose-t3-integration.jsonl,0.15,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminExternalProcessHandlesSIGINTAndSIGTERMGracefully,pass,rcc-goose-t3-integration.jsonl,10.65,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminExternalProcessHandlesSIGINTAndSIGTERMGracefully/interrupt,pass,rcc-goose-t3-integration.jsonl,5.36,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminExternalProcessHandlesSIGINTAndSIGTERMGracefully/terminated,pass,rcc-goose-t3-integration.jsonl,5.29,1
