package,test,final_result,passing_log
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAccountUpgradeFromLegacyMatchesFreshSchema,pass,legacy-recheck
github.com/asherzj/relational-config-center/admin/cmd/admin,TestCombinedQueryAC016RealFieldsCapacityAndAtomicConfiguration,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestCurrentGooseInstallationMatchesFrozenAdoptionStructure,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestFieldPolicyAC001RoundTrip,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestFieldPolicyAC002InvalidConfigurationIsAtomic,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestFieldPolicyAC009AC018KeepDatabaseDefaultsAndExecutionBoundary,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestFieldPolicyAC020MigrationPreservesExistingData,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestFieldPolicyDatabaseFailureRollsBackWholeReplacement,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestFieldPolicyDefaultsNumericOptionsAndAudit,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestFieldPolicyReadDistinguishesDisabledSchemaDriftAndFailure,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetInterruptedTransactionRollsBackAndRetries,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetPreservesRecordsAndContinuesPublication,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/hidden_inbound_foreign_key,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/missing_table,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/no_metadata_privilege,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/no_target,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/nontransactional_table,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/production,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/side_effect_trigger,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/unexpected_column,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/writers_not_stopped,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/wrong_address,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/wrong_database,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestReleaseResetRefusesUnverifiedTargetsAndSchema/wrong_instance,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineAdoptsCurrentDatabaseWithoutReplayingHistory,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineConcurrentAdoptionUsesOneVersionPrefix,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineProcessInterruptionRetainsUnconfirmedState,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineRecoversBeforeAttemptWasRecorded,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineRecoversUnconfirmedRegistration,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineRefusesToRecreateLostConfirmedHistory,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineRejectsIncompatibleControlStructureWithoutWrites,pass,corrections-verified
